767CF59F54C3;192.168.10. 102
8567CBE24317;192.168.10. 103
F4397EDE572C;192.168.10. 104
0AEC090BDA48;192.168.10. 105
18F307FF9F93;192.168.10. 108
C6150FBCB564;192.168.10. 109
56EC1F4F3529;192.168.10. 126
63E614BEB096;192.168.10. 110
E31444BB981A;192.168.10. 111
3EDF5045DFEF;192.168.10. 112
1B6387D6BE8D;192.168.10. 113
4DE2F5192E12;192.168.10. 116
2891F93D50AA;192.168.10. 117
D33D6556342C;192.168.10. 122
3855E6CC9466;192.168.10. 138
2124475C845C;192.168.10. 195
BC0A98B547E9;192.168.10. 128
5F1B26C5715B;192.168.10. 132
F225CDFE2986;192.168.10. 134
48249F3621F2;192.168.10. 100
B34B0CFCDA05;192.168.10. 106
7E77EA1DAE0B;192.168.10. 114
1061561C5E30;192.168.10. 118
